Zip,Total Population,Population Density,Population,Population_proj
78610,43124,461,6.94,4.45
78612,16169,158,1.96,4.02
78613,86356,2953,3.0,2.56
78615,1521,30,1.45,2.13
78617,26552,416,2.66,3.0
78620,19589,123,3.63,3.75
78621,25629,140,2.0,2.12
78634,33701,625,4.42,4.18
78641,76168,758,5.94,4.59
78642,14016,136,3.87,4.44
78645,11705,328,1.97,3.6
78652,5507,535,4.36,3.63
78653,27393,252,6.46,5.23
78654,20633,99,1.63,1.62
78660,110010,2391,4.82,3.42
78663,829,6,1.41,1.29
78664,60774,3757,1.82,2.1
78669,9545,83,2.11,2.55
78701,11370,6905,5.54,3.09
78702,28533,5679,3.16,3.49
78703,22628,4514,1.49,1.31
78704,54174,6216,2.7,2.04
78705,30931,15694,1.71,1.42
78710,err,err,err,err
78712,4881,13483,0.06,0.14
78719,1868,114,1.2,1.28
78721,12677,3034,1.05,1.31
78722,6863,4851,1.67,1.52
78723,35553,4906,2.44,1.77
78724,28175,1149,2.87,2.61
78725,10521,738,6.31,3.56
78726,14327,1002,1.33,1.69
78727,28421,3603,1.44,1.65
78728,24824,3528,1.83,1.68
78729,32948,3919,1.62,1.82
78730,9425,623,1.81,1.41
78731,26865,2878,0.77,0.8
78732,19758,1478,3.75,2.63
78733,9471,783,0.9,1.21
78734,21163,1141,2.05,2.32
78735,21190,1135,2.67,2.33
78736,9526,395,4.01,3.28
78737,20782,510,5.27,3.51
78738,28550,642,8.34,3.19
78739,21221,1734,2.57,2.01
78741,56403,7070,2.49,2.11
78742,1223,192,1.36,0.9
78744,55791,2524,2.78,1.84
78745,63078,4697,1.66,1.58
78746,28975,1234,0.87,0.88
78747,20050,974,3.74,6.23
78748,54538,4050,3.12,2.23
78749,38406,3987,1.01,0.92
78750,27885,2223,1.13,1.15
78751,17081,6704,1.79,1.56
78752,19869,6154,1.08,2.01
78753,56043,5254,2.12,1.72
78754,22907,1639,3.82,3.69
78756,9045,4931,1.4,1.65
78757,22650,4669,1.36,1.39
78758,55349,5904,1.74,1.37
78759,42885,3240,0.82,0.82
78799,err,err,err,err
76574,19890,132,1.03,1.32
78626,35874,415,3.83,3.19
78619,5985,130,5.95,3.65
78640,65992,745,4.78,3.84
78681,55781,2222,1.4,1.73
78628,35351,526,4.48,4.94
78633,27976,401,4.12,4.39
78643,7270,10,1.8,1.29
78717,33209,2217,4.27,2.83
